高著	gao-zhao
失著	shi-zhao
著著	zhao-zhao
著兒	zhao-er
失著	shi-zhao
著數	zhao-shu
角鬥	jue-dou
角牴	jue-di
畜產	xu-chan
畜養	xu-yang
畜愛	xu-ai
裨將	pi-jiang
關卡	guan-qia
卡殼	qia-ke
卡具	qia-ju
乘輿	sheng-yu
韆乘	qian-sheng
龍且	long-ju
粘貼	zhan-tie
粘連	zhan-lian
系鞋	ji-xie
系繩	ji-sheng
系帶	ji-dai
無臭	wu-xiu
臭敗	xiu-bai
複闢	fu-bi
闢邪	bi-xie
闢除	bi-chu
鉋牀	bao-chuang
鉋刀	bao-dao
鉋光	bao-dao
鉋花	bao-hua
鉋身	bao-shen
鉋頭	bao-tou
鉋子	bao-zi
削髮	xue-fa
剝削	bo-xue
削減	xue-jian
削價	xue-jia
削鐵	xue-tie
食馬	si-ma
露醜	lou-chou
露風	lou-feng
露臉	lou-lian
露馬	lou-ma
露頭	lou-tou
露一	lou-yi
露餡	lou-xian
亟請	qi-qing
亟嘆	qi-tan
龜茲	qiu-ci
勒緊	lei-jin
什麼	shen-me
伎倆	ji-liang
單于	chan-yu
參差	cen-ci
人參	ren-shen
黨參	dang-shen
洋參	yang-shen
麗參	li-shen
參茸	shen-rong
參商	shen-shang
參辰	shen-chen
傳記	zhuan-ji
傳略	zhuan-lue
傳讚	zhuan-zan
作傳	zuo-zhuan
左傳	zuo-zhuan
立傳	li-zhuan
滸傳	hu-zhuan
小傳	xiao-zhuan
紀傳	ji-zhuan
自傳	zi-zhuan
經傳	jing-zhuan
三傳	san-zhuan
強識	qiang-zhi
說服	shui-fu
遊說	you-shui
調合	tiao-he
調羹	tiao-geng
調和	tiao-he
調劑	tiao-ji
調護	tiao-hu
調教	tiao-jiao
調價	tiao-jia
調節	tiao-jie
調解	tiao-jie
調理	tiao-li
調配	tiao-pei
調皮	tiao-pi
調頻	tiao-pin
調幅	tiao-fu
調色	tiao-se
調試	tiao-shi
調唆	tiao-suo
調料	tiao-liao
調焦	tiao-jiao
調控	tiao-kong
調停	tiao-ting
調情	tiao-qing
調味	tiao-wei
調戲	tiao-xi
調笑	tiao-xiao
協調	xie-tiao
微調	wei-tiao
調整	tiao-zheng
調養	tiao-yang
調音	tiao-yin
調勻	tiao-yun
調高	tiao-gao
調低	tiao-di
調製	tiao-zhi
調準	tiao-zhun
調資	tiao-zi
調飢	zhou-ji
調档	tiao-dang
彈射	tan-she
彈跳	tan-tiao
彈琴	tan-qin
彈劾	tan-he
彈糾	tan-jiu
譏彈	ji-tan
彈指	tan-zhi
彈奏	tan-zou
彈冠	tan-guan
彈撥	tan-bo
彈唱	tan-chang
彈詞	tan-ci
彈簧	tan-huang
彈力	tan-li
彈棉	tan-mian
彈花	tan-hua
彈性	tan-xing
彈壓	tan-ya
彈起	tan-qi
評彈	ping-tan
裡弄	li-long
呼訏	hu-yu
訏求	yu-qiu
訏天	yu-tian
度德	duo-de
度長	duo-chang
呵羅	ke-luo
攙和	chan-huo
攪和	jiao-huo
和麵	huo-mian
和藥	huo-yao
度勢	duo-shi
滎陽	xing-yang
滎經	ying-jing
莞爾	wan-er
莞納	wan-na
鉛山	yan-shan
泌陽	bi-yang
吳堡	wu-bu
渦河	guo-he
澠水	sheng-shui
蔚縣	yu-xian
莘莊	xin-zhuang
單縣	shan-xian
尉犁	yu-li
撣邦	shan-bang
撣族	shan-zu
薄片	bao-pian
薄餅	bao-bing
薄膜	bao-mo
薄層	bao-ceng
薄闆	bao-ban
薄紗	bao-sha
藏傳	zang-chuan
藏藥	zang-yao
藏醫	zang-yi
寶藏	bao-zang
藏歷	zang-li
藏戲	zang-xi
藏藍	zang-lan
藏紅	zang-hong
釋藏	shi-zang
慰藉	wei-jie
拆爛	ca-lan
屏除	bing-chu
屏气	bing-qi
屏弃	bing-qi
屏斥	bing-chi
屏退	bing-tui
屏息	bing-xi
屏住	bing-zhu
屏声	bing-sheng
屏处	bing-chu
屏绝	bing-jue
屏氣	bing-qi
屏棄	bing-qi
屏聲	bing-sheng
屏處	bing-chu
屏絕	bing-jue
